                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3956,                 3.1738,                 1.2272,                0.64134,                0.22574,                 0.2343,                0.13121,                 1.1975,                 2.7527,                 1.1518,             0.00019456,             0.00019456,             0.00019456
                      2,                 1.2336,                 1.9903,                 1.1114,                0.44241,                0.45406,                0.42063,                0.25894,                 1.1131,                 2.2477,                  1.102,             0.00038669,             0.00038669,             0.00038669
                      3,                 1.2176,                 1.7637,                 1.0943,                0.50572,                0.49747,                0.49165,                0.30467,                 1.1132,                 2.1521,                   1.13,             0.00057494,             0.00057494,             0.00057494
                      4,                 1.1858,                 1.6521,                 1.0839,                 0.5365,                0.54169,                0.54218,                0.33886,                 1.1745,                 1.9928,                 1.1466,             0.00057054,             0.00057054,             0.00057054
                      5,                 1.1685,                 1.5281,                 1.0782,                0.50658,                0.49413,                0.57143,                0.36939,                  1.177,                 1.8419,                 1.1382,             0.00057054,             0.00057054,             0.00057054
                      6,                 1.1428,                 1.4184,                  1.069,                0.67355,                0.58427,                0.65443,                0.42098,                 1.0932,                 1.7892,                 1.1044,             0.00056472,             0.00056472,             0.00056472
                      7,                 1.1146,                 1.3312,                 1.0588,                0.62409,                0.61972,                0.67681,                0.45242,                 1.0685,                 1.5889,                   1.09,             0.00055889,             0.00055889,             0.00055889
                      8,                 1.0968,                 1.2911,                 1.0497,                0.60781,                0.63306,                0.65709,                0.44315,                 1.0963,                 1.5881,                 1.1199,             0.00055307,             0.00055307,             0.00055307
                      9,                 1.1044,                 1.2541,                 1.0561,                0.73111,                0.64547,                0.69948,                0.46074,                 1.0498,                 1.6172,                 1.0747,             0.00054725,             0.00054725,             0.00054725
                     10,                 1.0718,                 1.2027,                 1.0409,                0.66661,                0.66144,                0.70556,                0.47604,                 1.1127,                 1.4308,                 1.1221,             0.00054143,             0.00054143,             0.00054143
                     11,                 1.0737,                 1.1396,                 1.0344,                0.65573,                0.68693,                0.71453,                0.48125,                 1.0391,                 1.4322,                 1.0702,             0.00053561,             0.00053561,             0.00053561
                     12,                 1.0498,                 1.1167,                 1.0293,                0.68111,                0.74309,                0.72201,                0.48994,                 1.1823,                 1.6291,                 1.2433,             0.00052979,             0.00052979,             0.00052979
                     13,                 1.0466,                 1.1017,                 1.0289,                0.65353,                0.68018,                0.69093,                0.46902,                 1.1363,                 1.4478,                 1.1029,             0.00052397,             0.00052397,             0.00052397
                     14,                 1.0394,                 1.0768,                 1.0232,                0.67207,                0.74099,                0.74785,                0.51783,                0.98818,                 1.2173,                  1.037,             0.00051815,             0.00051815,             0.00051815
                     15,                 1.0186,                 1.0604,                 1.0156,                0.70646,                0.66181,                0.71001,                  0.492,                0.99048,                 1.3866,                 1.0453,             0.00051232,             0.00051232,             0.00051232
                     16,                 1.0184,                 1.0439,                 1.0127,                0.61651,                0.72435,                0.72064,                0.49077,                 1.0323,                 1.5446,                  1.067,              0.0005065,              0.0005065,              0.0005065
                     17,                 1.0041,                 1.0093,                 1.0061,                0.69541,                0.71531,                 0.7375,                0.52708,                   1.02,                 1.2509,                 1.0516,             0.00050068,             0.00050068,             0.00050068
                     18,                  1.003,                 1.0009,                 1.0067,                0.70697,                0.72969,                0.74649,                0.52124,                 1.1028,                 1.1531,                 1.1822,             0.00049486,             0.00049486,             0.00049486
                     19,                0.98883,                0.98669,                  1.004,                0.72956,                0.74177,                0.74904,                0.52942,                 1.0947,                 1.2346,                  1.143,             0.00048904,             0.00048904,             0.00048904
                     20,                 0.9981,                0.98849,                  1.003,                0.71304,                0.74588,                0.77366,                0.55669,                 1.0331,                 1.1301,                 1.0882,             0.00048322,             0.00048322,             0.00048322
                     21,                0.98698,                0.94892,                 1.0039,                0.71679,                0.76141,                0.77098,                0.54675,                0.99781,                 1.2585,                 1.0616,              0.0004774,              0.0004774,              0.0004774
                     22,                0.97794,                0.93895,                0.99486,                0.75704,                0.74984,                0.80186,                 0.5748,                 1.0009,                 1.0366,                 1.0503,             0.00047158,             0.00047158,             0.00047158
                     23,                0.97907,                0.93068,                0.99253,                0.72568,                 0.7742,                0.79671,                0.56666,                 1.0247,                  1.213,                 1.0705,             0.00046575,             0.00046575,             0.00046575
                     24,                0.95829,                0.91382,                0.98715,                0.76582,                0.80126,                0.80021,                0.58015,                0.99514,                 1.0236,                 1.0581,             0.00045993,             0.00045993,             0.00045993
                     25,                0.96101,                0.88829,                0.98959,                0.77459,                0.78261,                0.79671,                0.57514,                0.93984,                 1.1279,                 1.0148,             0.00045411,             0.00045411,             0.00045411
                     26,                0.96366,                0.90247,                0.99083,                0.81141,                0.75916,                0.82133,                0.59471,                0.93707,                0.98156,                 1.0073,             0.00044829,             0.00044829,             0.00044829
                     27,                0.95642,                0.90291,                0.98795,                0.82832,                0.75623,                0.81186,                0.59005,                0.94986,                0.99688,                 1.0311,             0.00044247,             0.00044247,             0.00044247
                     28,                0.94862,                 0.8631,                0.98512,                0.81461,                0.78561,                0.83166,                0.61029,                0.92049,                 0.9106,                 1.0058,             0.00043665,             0.00043665,             0.00043665
                     29,                0.94485,                0.84431,                 0.9787,                0.74194,                0.79244,                0.80496,                0.57515,                 0.9413,                 1.1574,                 1.0117,             0.00043083,             0.00043083,             0.00043083
                     30,                0.92431,                0.84732,                0.98238,                0.77778,                0.78237,                0.82384,                0.60158,                 1.0362,                 1.0919,                 1.0897,             0.00042501,             0.00042501,             0.00042501
                     31,                0.92221,                0.83533,                 0.9715,                0.79997,                0.75333,                0.80198,                0.57078,                0.95777,                 1.0694,                 1.0286,             0.00041919,             0.00041919,             0.00041919
                     32,                0.92462,                0.83878,                0.97715,                0.80316,                0.75855,                0.80935,                0.60056,                0.92249,                 1.1566,                 1.0035,             0.00041336,             0.00041336,             0.00041336
                     33,                0.92026,                0.81499,                0.97293,                0.75289,                0.78932,                0.82753,                0.60824,                0.92033,                0.95966,                 1.0011,             0.00040754,             0.00040754,             0.00040754
                     34,                0.91796,                 0.8142,                0.96925,                0.76204,                0.80029,                 0.8302,                 0.6231,                0.99577,                0.92475,                 1.0523,             0.00040172,             0.00040172,             0.00040172
                     35,                0.91748,                0.81463,                0.96815,                0.84188,                0.80916,                0.86261,                0.65234,                0.94624,                0.98298,                 1.0439,              0.0003959,              0.0003959,              0.0003959
                     36,                0.90971,                0.80731,                0.96875,                 0.8365,                0.76934,                 0.8458,                0.63629,                0.89131,                 1.1445,                   0.99,             0.00039008,             0.00039008,             0.00039008
                     37,                0.91776,                0.80018,                0.96821,                 0.8409,                0.79327,                0.85792,                0.64957,                0.91495,                0.91772,                 1.0103,             0.00038426,             0.00038426,             0.00038426
                     38,                0.89771,                0.78509,                0.96374,                0.82318,                0.81268,                0.85959,                0.64078,                0.92262,                 0.9449,                 1.0093,             0.00037844,             0.00037844,             0.00037844
                     39,                 0.8885,                0.76568,                0.95845,                0.86328,                0.80822,                 0.8737,                0.66576,                0.86709,                0.85784,                0.97922,             0.00037262,             0.00037262,             0.00037262
                     40,                0.90114,                0.76757,                0.96607,                0.87368,                0.79823,                0.87629,                0.66765,                0.85333,                0.80999,                0.97371,             0.00036679,             0.00036679,             0.00036679
                     41,                0.89092,                0.76411,                0.96158,                 0.8397,                0.78545,                0.85244,                0.64909,                0.90486,                0.80825,                 1.0024,             0.00036097,             0.00036097,             0.00036097
                     42,                0.88351,                0.75965,                0.95886,                0.81853,                0.79026,                0.85478,                0.64827,                0.90572,                0.88124,                0.99778,             0.00035515,             0.00035515,             0.00035515
                     43,                0.87708,                0.75068,                0.95773,                0.84206,                0.81873,                 0.8713,                0.66174,                0.85977,                0.82977,                0.98069,             0.00034933,             0.00034933,             0.00034933
                     44,                0.89279,                0.74877,                0.96439,                0.83532,                0.82214,                0.86607,                0.65092,                0.89839,                0.98285,                 1.0026,             0.00034351,             0.00034351,             0.00034351
                     45,                0.88537,                0.74079,                0.95571,                0.84712,                 0.8296,                0.87676,                0.67507,                0.84143,                0.81435,                0.97632,             0.00033769,             0.00033769,             0.00033769
                     46,                 0.8716,                0.73583,                0.95409,                0.86815,                0.82585,                0.88539,                0.68414,                0.89072,                 0.8943,                0.99394,             0.00033187,             0.00033187,             0.00033187
                     47,                0.87618,                0.73299,                0.95547,                0.87991,                0.79854,                0.87562,                0.66557,                0.92828,                 1.0559,                 1.0119,             0.00032605,             0.00032605,             0.00032605
                     48,                0.87016,                0.72077,                0.95152,                0.89674,                0.81933,                0.89282,                0.69119,                 0.8389,                0.77862,                0.96789,             0.00032022,             0.00032022,             0.00032022
                     49,                0.85917,                0.71946,                0.95119,                0.84836,                0.85852,                0.89382,                0.67576,                0.85121,                0.74473,                0.96886,              0.0003144,              0.0003144,              0.0003144
                     50,                0.86787,                0.71792,                0.95221,                0.86211,                0.85531,                0.89735,                0.67252,                0.92077,                0.78144,                   1.02,             0.00030858,             0.00030858,             0.00030858
                     51,                0.86076,                0.69567,                 0.9491,                 0.8923,                0.82154,                 0.8785,                0.68202,                0.86014,                0.78554,                0.98017,             0.00030276,             0.00030276,             0.00030276
                     52,                0.84883,                0.69408,                0.94401,                0.87835,                0.84787,                0.89844,                 0.6954,                0.86289,                0.75975,                0.98192,             0.00029694,             0.00029694,             0.00029694
                     53,                0.84025,                0.69986,                0.94142,                0.86678,                0.85969,                0.89908,                0.69006,                0.88101,                0.81051,                 1.0056,             0.00029112,             0.00029112,             0.00029112
                     54,                 0.8416,                0.68253,                0.94128,                0.88188,                0.86386,                0.90606,                0.69893,                0.87611,                0.75278,                 0.9863,              0.0002853,              0.0002853,              0.0002853
                     55,                0.84313,                0.68041,                0.94562,                 0.8863,                0.81894,                0.89597,                0.69456,                0.84588,                0.76173,                0.97224,             0.00027948,             0.00027948,             0.00027948
                     56,                0.84262,                0.67168,                0.93837,                0.88777,                0.84665,                0.89646,                0.68971,                0.89876,                0.89167,                 1.0067,             0.00027366,             0.00027366,             0.00027366
                     57,                0.84283,                0.66964,                0.94288,                0.91997,                0.82486,                0.90147,                0.70186,                0.83732,                0.77023,                0.96743,             0.00026783,             0.00026783,             0.00026783
                     58,                0.83675,                0.65954,                0.94249,                0.90644,                0.84061,                0.90582,                 0.6854,                0.84847,                0.78408,                0.97595,             0.00026201,             0.00026201,             0.00026201
                     59,                 0.8445,                0.67537,                0.93812,                0.85973,                0.86149,                0.90144,                0.69737,                0.83572,                 0.7519,                0.97438,             0.00025619,             0.00025619,             0.00025619
                     60,                0.81282,                0.64901,                0.93402,                0.89348,                0.84134,                0.89496,                0.69838,                0.83621,                 0.7927,                 0.9703,             0.00025037,             0.00025037,             0.00025037
                     61,                0.82702,                 0.6342,                0.93543,                0.86982,                0.85032,                0.90135,                0.71188,                0.84853,                0.72284,                0.97205,             0.00024455,             0.00024455,             0.00024455
                     62,                0.81497,                0.63337,                0.93464,                0.89979,                0.84478,                0.90593,                0.70183,                0.85963,                0.77027,                0.98252,             0.00023873,             0.00023873,             0.00023873
                     63,                0.81556,                0.63787,                0.93177,                0.85143,                0.88877,                0.90771,                0.71175,                0.83404,                0.78097,                0.96384,             0.00023291,             0.00023291,             0.00023291
                     64,                0.82154,                0.64524,                0.93554,                0.90298,                0.84603,                0.90695,                0.70347,                0.93058,                0.86885,                0.99844,             0.00022709,             0.00022709,             0.00022709
                     65,                0.81827,                0.62706,                0.93238,                0.86677,                0.85861,                0.90367,                0.70776,                0.89178,                0.76875,                 1.0035,             0.00022126,             0.00022126,             0.00022126
                     66,                0.80582,                0.61854,                 0.9262,                0.89255,                0.86662,                0.90789,                0.71216,                0.82741,                 0.7296,                0.95751,             0.00021544,             0.00021544,             0.00021544
                     67,                0.81325,                0.63419,                0.93283,                0.91407,                0.84602,                 0.9113,                0.71641,                0.79876,                0.69077,                0.95414,             0.00020962,             0.00020962,             0.00020962
